STATE,COUNTY,TRACT,NAME,ct10,ct9,MSSAdef,NCHS_County,NCHS_CBSA,NCHS_2013code,NCHS_2006code,NCHS_1990basedcode,NCHS2013_text
6,61,21309,213.09,6061021309,61021309,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21322,213.22,6061021322,61021322,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21403,214.03,6061021403,61021403,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21501,215.01,6061021501,61021501,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21502,215.02,6061021502,61021502,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21603,216.03,6061021603,61021603,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21604,216.04,6061021604,61021604,Urban,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21801,218.01,6061021801,61021801,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,61,21802,218.02,6061021802,61021802,Rural,Placer County,"Sacramento--Roseville--Arden-Arcade, CA",2,2,2,Large fringe metro
6,65,42620,426.2,6065042620,65042620,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42622,426.22,6065042622,65042622,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42623,426.23,6065042623,65042623,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42624,426.24,6065042624,65042624,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42708,427.08,6065042708,65042708,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42709,427.09,6065042709,65042709,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42711,427.11,6065042711,65042711,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42714,427.14,6065042714,65042714,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42715,427.15,6065042715,65042715,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42716,427.16,6065042716,65042716,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42717,427.17,6065042717,65042717,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42719,427.19,6065042719,65042719,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
6,65,42720,427.2,6065042720,65042720,Urban,Riverside County,"Riverside-San Bernardino-Ontario, CA",1,1,1,Large central metro
